EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,Label
100000,138.47,51.655,97.827,27.98,0.91,124.711,2.666,3.064,41.928,s
100001,160.937,68.768,103.235,48.146,-999.0,-999.0,-999.0,3.473,2.078,b
100002,-999.0,162.172,125.953,35.635,-999.0,-999.0,-999.0,3.148,9.336,b
100003,143.905,81.417,80.943,0.414,-999.0,-999.0,-999.0,3.31,0.414,b
100004,175.864,16.915,134.805,16.405,-999.0,-999.0,-999.0,3.891,16.405,b
100005,89.744,13.55,59.149,116.344,2.636,284.584,-0.54,1.362,61.619,b
100006,148.754,28.862,107.782,106.13,0.733,158.359,0.113,2.941,2.545,s
100007,154.916,10.418,94.714,29.169,-999.0,-999.0,-999.0,2.897,1.526,s
100008,105.594,50.559,100.989,4.288,-999.0,-999.0,-999.0,2.904,4.288,b
100009,128.053,88.941,69.272,193.392,-999.0,-999.0,-999.0,1.609,28.859,s
100010,-999.0,86.24,79.692,27.201,-999.0,-999.0,-999.0,2.338,27.201,b
100011,114.744,10.286,75.712,30.816,2.563,252.599,-1.401,2.888,36.745,b
100012,145.297,64.234,103.565,106.999,-999.0,-999.0,-999.0,2.183,24.66,b
100013,82.488,31.663,64.128,8.232,-999.0,-999.0,-999.0,2.823,8.232,b
100014,-999.0,109.412,14.398,17.323,-999.0,-999.0,-999.0,0.472,17.323,b
100015,111.026,32.096,75.271,23.067,-999.0,-999.0,-999.0,3.205,23.067,s
100016,114.256,4.351,67.963,47.221,-999.0,-999.0,-999.0,2.954,26.243,b
100017,127.861,50.953,77.267,26.967,-999.0,-999.0,-999.0,2.833,26.967,s
100018,-999.0,85.186,68.827,5.042,-999.0,-999.0,-999.0,2.116,5.042,b
100019,-999.0,88.767,115.058,15.337,-999.0,-999.0,-999.0,2.879,15.337,b
100020,-999.0,89.705,41.765,18.437,-999.0,-999.0,-999.0,1.395,18.437,b
100021,90.736,18.674,60.231,25.156,-999.0,-999.0,-999.0,2.363,25.156,b
100022,87.075,38.217,67.041,2.347,-999.0,-999.0,-999.0,2.852,2.347,b
100023,141.481,0.736,111.581,174.075,1.955,364.344,-0.923,1.335,6.663,s
100024,110.785,72.927,82.775,30.888,-999.0,-999.0,-999.0,3.032,30.888,b
100025,76.883,34.384,56.993,5.569,-999.0,-999.0,-999.0,2.912,5.569,b
100026,137.197,68.009,78.296,35.332,-999.0,-999.0,-999.0,2.883,0.204,s
100027,111.271,27.18,70.642,144.766,4.936,1021.322,-5.834,1.795,0.367,s
100028,118.104,2.633,77.31,91.388,-999.0,-999.0,-999.0,1.976,21.536,s
100029,98.761,14.024,74.23,132.806,3.676,315.854,-2.665,1.261,23.29,b
100030,-999.0,91.316,51.771,33.742,-999.0,-999.0,-999.0,1.309,0.876,b
100031,121.681,6.041,73.202,198.114,2.639,295.942,-1.738,1.148,31.017,s
100032,129.186,64.045,69.499,63.165,5.087,854.799,-6.159,2.745,6.58,s
100033,123.112,62.758,86.702,39.901,3.16,244.181,-2.139,2.825,9.732,b
100034,156.894,39.256,122.894,71.682,-999.0,-999.0,-999.0,2.387,29.365,b
100035,72.712,20.762,50.255,39.263,-999.0,-999.0,-999.0,2.186,21.817,b
100036,134.153,23.856,100.96,9.377,-999.0,-999.0,-999.0,2.846,9.377,s
100037,155.487,61.072,125.013,2.768,-999.0,-999.0,-999.0,2.908,2.768,s
100038,138.362,38.034,99.038,65.021,1.814,275.461,1.506,2.605,97.25,s
100039,120.506,22.729,88.889,35.999,0.218,167.175,5.17,2.465,32.706,s
100040,109.684,42.664,86.064,0.23,-999.0,-999.0,-999.0,2.745,0.23,s
100041,90.833,62.236,53.228,21.581,-999.0,-999.0,-999.0,2.629,21.581,b
100042,122.516,50.183,87.682,102.403,3.28,479.59,-2.564,1.881,0.731,s
100043,132.049,65.682,87.937,0.861,-999.0,-999.0,-999.0,2.952,0.861,b
100044,84.86,33.706,67.847,18.079,-999.0,-999.0,-999.0,2.346,18.079,b
100045,27.788,68.032,23.53,33.375,1.37,78.189,3.443,0.78,10.201,b
100046,201.473,23.002,104.041,60.49,4.437,491.375,-4.916,2.968,1.786,s
100047,130.079,53.335,97.435,1.382,-999.0,-999.0,-999.0,3.023,1.382,s
100048,167.534,41.277,123.308,9.909,-999.0,-999.0,-999.0,2.776,9.909,b
100049,95.407,21.584,67.766,1.482,-999.0,-999.0,-999.0,3.042,1.482,s
100050,219.057,72.461,124.835,5.506,-999.0,-999.0,-999.0,3.771,46.936,b
100051,104.142,37.94,69.029,50.58,3.941,411.813,-1.86,2.448,4.194,s
100052,-999.0,83.924,136.152,40.286,-999.0,-999.0,-999.0,3.111,40.286,b
100053,-999.0,98.947,85.408,1.578,-999.0,-999.0,-999.0,2.598,1.578,b
100054,219.292,74.6,177.143,2.423,-999.0,-999.0,-999.0,4.054,2.423,b
100055,51.025,50.315,46.006,1.303,-999.0,-999.0,-999.0,2.109,1.303,b
100056,-999.0,110.686,65.448,49.395,0.482,24.02,7.901,2.893,26.385,b
100057,148.523,31.911,97.497,171.074,1.209,262.61,-0.067,1.423,20.859,s
100058,104.221,13.816,71.225,27.029,-999.0,-999.0,-999.0,2.836,27.029,s
100059,73.819,83.737,60.659,43.435,1.494,162.191,-0.546,1.576,45.807,b
100060,103.646,40.918,64.244,135.726,0.68,73.056,1.649,1.524,18.535,s
100061,122.934,73.141,68.069,4.647,-999.0,-999.0,-999.0,2.992,4.647,s
100062,139.394,71.611,78.711,28.947,-999.0,-999.0,-999.0,2.945,2.399,b
100063,92.065,65.274,53.52,28.173,-999.0,-999.0,-999.0,2.738,28.173,b
100064,92.696,51.669,68.835,39.384,-999.0,-999.0,-999.0,2.513,15.701,b
100065,83.081,63.334,60.631,38.653,-999.0,-999.0,-999.0,2.077,0.91,b
100066,123.715,57.088,81.811,53.612,-999.0,-999.0,-999.0,3.043,53.612,b
100067,94.229,78.683,69.352,25.679,-999.0,-999.0,-999.0,2.507,25.679,b
100068,88.532,16.345,50.14,95.309,4.557,580.126,-3.436,1.771,34.156,b
100069,101.675,72.911,49.453,42.633,-999.0,-999.0,-999.0,2.605,42.633,b
100070,120.253,30.144,82.176,38.736,3.918,407.579,-3.457,2.551,46.301,s
100071,-999.0,70.619,81.224,23.097,-999.0,-999.0,-999.0,1.724,23.097,s
100072,96.906,71.751,74.602,39.664,-999.0,-999.0,-999.0,2.348,14.617,b
100073,92.222,16.05,64.769,3.422,-999.0,-999.0,-999.0,2.824,3.422,s
100074,-999.0,65.71,56.525,1.118,-999.0,-999.0,-999.0,2.012,1.118,b
100075,98.597,41.715,78.618,3.375,-999.0,-999.0,-999.0,2.409,3.375,s
100076,239.551,118.683,193.111,6.549,-999.0,-999.0,-999.0,2.857,6.549,b
100077,86.629,33.856,67.5,49.081,2.978,229.16,-1.67,1.951,17.799,b
100078,132.35,65.858,106.57,124.84,5.822,1558.773,-8.423,1.931,34.787,s
100079,123.29,52.954,76.946,129.157,-999.0,-999.0,-999.0,1.769,26.758,s
100080,84.608,50.05,63.451,0.658,-999.0,-999.0,-999.0,2.961,0.658,b
100081,-999.0,65.312,50.047,0.515,-999.0,-999.0,-999.0,2.13,74.884,b
100082,166.64,15.868,80.477,77.915,1.575,215.121,-0.544,2.871,28.035,s
100083,145.99,68.862,97.342,28.538,4.664,396.915,-5.149,3.088,24.909,b
100084,99.668,25.986,60.637,192.267,1.048,231.346,-0.273,1.405,37.955,b
100085,-999.0,71.692,52.779,2.705,-999.0,-999.0,-999.0,1.985,2.705,b
100086,199.9,78.686,167.085,77.236,-999.0,-999.0,-999.0,2.934,17.233,b
100087,92.079,42.327,71.28,29.118,-999.0,-999.0,-999.0,2.322,29.118,b
100088,117.247,102.167,79.738,34.164,-999.0,-999.0,-999.0,3.23,1.991,b
100089,235.976,55.918,175.744,39.662,-999.0,-999.0,-999.0,2.69,3.627,b
100090,151.45,39.326,108.268,19.727,0.726,179.399,0.873,3.387,4.789,b
100091,124.118,59.132,77.775,0.419,-999.0,-999.0,-999.0,3.112,0.419,b
100092,96.97,61.769,93.213,0.51,-999.0,-999.0,-999.0,2.782,0.51,b
100093,96.379,17.118,63.373,71.039,6.108,1204.243,-8.309,1.677,22.278,s
100094,111.356,20.265,50.19,104.878,-999.0,-999.0,-999.0,2.5,26.905,b
100095,98.181,68.298,77.216,1.17,-999.0,-999.0,-999.0,2.918,1.17,b
100096,113.75,52.067,76.262,1.25,-999.0,-999.0,-999.0,2.962,1.25,s
100097,124.575,34.558,100.197,161.051,3.243,324.597,-2.626,1.479,61.347,s
100098,77.578,72.277,58.168,153.606,2.604,370.937,-1.597,0.988,41.756,b
100099,107.35,20.354,77.755,89.044,4.449,564.836,-2.99,2.482,31.871,b
100100,90.801,27.787,65.373,55.978,-999.0,-999.0,-999.0,2.457,20.608,b
100101,95.787,24.109,63.069,49.994,0.237,146.118,3.859,2.266,54.026,s
100102,101.079,91.317,79.19,73.323,2.463,261.761,-1.358,2.6,58.155,b
100103,130.123,8.251,81.732,81.065,3.022,262.128,-2.12,2.111,51.577,s
100104,130.634,74.772,102.183,25.928,-999.0,-999.0,-999.0,2.723,25.928,b
100105,208.573,6.854,154.336,57.028,2.685,183.753,0.026,3.581,5.646,b
100106,91.616,0.245,62.842,13.974,3.655,448.409,-1.74,3.102,7.63,s
